Id,SalePrice
1461,120355.05679484174
1462,149070.63185137673
1463,184243.56822525873
1464,191992.36755452078
1465,179248.35707323527
1466,184737.21607803166
1467,167222.74138583153
1468,166901.00158988545
1469,196422.27685043725
1470,109698.85591696968
1471,176943.63781407778
1472,97407.15090473207
1473,88524.41393296764
1474,156056.38139575694
1475,129641.86931133215
1476,421229.9146792377
1477,279599.84173125064
1478,329226.55252118333
1479,309439.72595979215
1480,484721.43589633924
1481,290208.35753720655
1482,238105.47019812788
1483,148995.15328978482
1484,170473.75387719818
1485,171478.07168308692
1486,180145.78722367156
1487,369243.40759903705
1488,259760.1813878273
1489,198867.92584730708
1490,201961.8171812684
1491,183236.46158487778
1492,101634.88315483129
1493,190467.55231597213
1494,295968.2026882898
1495,256220.5069514198
1496,223665.12107296864
1497,196254.35090153097
1498,152899.68842730077
1499,146161.9698347848
1500,136841.99994013453
1501,196369.15114853447
1502,151058.1580863238
1503,243051.98071009593
1504,238686.37343855566
1505,208522.61292264986
1506,182576.32178279854
1507,264667.3879260922
1508,188871.4026117304
1509,171713.4666752096
1510,130857.33274917943
1511,137544.08288613043
1512,164520.82542058593
1513,153139.96324086795
1514,160573.55592105622
1515,182647.7845774308
1516,147484.19980555002
1517,177526.72268243186
1518,138920.44628051893
1519,223906.41019306242
1520,131199.84218516963
1521,138208.67665131448
1522,157561.53598627643
1523,127937.18954974032
1524,132184.11367707705
1525,101113.60611016325
1526,136103.0177779943
1527,93383.78504238604
1528,139698.8615992517
1529,144526.77063490706
1530,157017.97538575483
1531,88966.31736936171
1532,98103.34249278744
1533,117684.29871722076
1534,128763.34238853883
1535,139105.791655959
1536,108023.82399572984
1537,57321.95859254754
1538,203779.68425052764
1539,205651.03088055417
1540,96521.46357990129
1541,167370.2392780977
1542,138877.36214792926
1543,247344.00626607228
1544,73244.68376136033
1545,115352.75352669827
1546,125693.26845085011
1547,128686.70141698052
1548,142284.47162560912
1549,101772.86879860672
1550,131860.35688815848
1551,98975.07495333302
1552,132528.43957949546
1553,160801.99718953177
1554,124735.46114336667
1555,153801.04160605214
1556,83359.07496278528
1557,111566.47884922019
1558,79766.89063944347
1559,84585.54111779651
1560,104707.38137124798
1561,127278.5224599609
1562,122000.39988738667
1563,102817.02990472267
1564,166981.3002624266
1565,168894.19108422947
1566,220221.74792642187
1567,87167.30335576646
1568,189649.51008136832
1569,99047.80719885585
1570,149088.68700858485
1571,145191.25596522307
1572,150182.4579845378
1573,240632.23301420326
1574,108875.98121060104
1575,176338.33092870412
1576,203130.85401869527
1577,237004.92297828876
1578,145935.62333754724
1579,125989.45367248067
1580,205567.07002214313
1581,173453.22663225056
1582,135692.12707678636
1583,297461.61539401906
1584,253340.66573369113
1585,135622.428047037
1586,67476.3456492253
1587,124298.8724545392
1588,155820.42385199066
1589,109344.72015965657
1590,142382.17838266422
1591,105280.49136790265
1592,133192.8979934417
1593,102597.82883078406
1594,175664.75461649432
1595,90456.77724365873
1596,204992.5259057086
1597,171191.7315578415
1598,205709.49018082136
1599,159625.07446386316
1600,168126.4115380969
1601,83144.18910067018
1602,113621.86445750608
1603,83648.83898611378
1604,258146.60330740103
1605,235435.446735554
1606,168340.11411406996
1607,165238.73871475412
1608,173011.70680777717
1609,219355.93521989102
1610,178184.463831279
1611,137713.97572081297
1612,188378.97315627334
1613,152222.85436392998
1614,108702.25263247358
1615,93183.08711131838
1616,88302.97515796196
1617,92699.92550104354
1618,128164.19149857838
1619,130542.69936082132
1620,187593.2918436547
1621,141512.9990251955
1622,133973.10676791635
1623,255750.35860501986
1624,207034.2377614188
1625,116959.53322244689
1626,179818.7590637935
1627,190637.6065164351
1628,249618.51708208787
1629,182923.35969649968
1630,366368.4658477694
1631,227222.5662079818
1632,259190.71006435718
1633,161692.27217679872
1634,190103.2293520862
1635,173229.3550392039
1636,164580.2715981171
1637,171434.0138766312
1638,217330.99297663922
1639,183544.31261086915
1640,258441.71125670904
1641,182239.84084603167
1642,206736.10699897638
1643,247030.97995093866
1644,227199.9219347884
1645,178992.68575468924
1646,172310.3836946547
1647,152250.9569763348
1648,139393.20686490615
1649,136656.35435987945
1650,129967.46350802925
1651,108920.15005526053
1652,99001.8199943506
1653,102486.08941425984
1654,144067.32262318037
1655,121974.98837160475
1656,142168.54771990722
1657,148203.6065618974
1658,148096.48683068246
1659,124934.11679616057
1660,153302.20278919124
1661,437221.35766742873
1662,459800.64079016366
1663,351208.4287264676
1664,523976.5102911439
1665,348486.2652487382
1666,282271.60759517486
1667,304468.4428143652
1668,349806.04891839117
1669,290877.4646733557
1670,318134.24842858245
1671,231684.36560870495
1672,455422.1947366884
1673,318366.9979825206
1674,253726.43268894026
1675,181781.57556553438
1676,191469.30675499956
1677,233017.1637113948
1678,437525.224672999
1679,341745.1975202354
1680,393984.4017508661
1681,314269.10104102007
1682,270199.1181141603
1683,173590.89046547347
1684,171915.86875471292
1685,171690.04497980108
1686,170098.9296668855
1687,182981.04570745124
1688,174117.35576457685
1689,194963.29358466138
1690,170620.58221259448
1691,171083.03313119564
1692,248920.03408262186
1693,182295.51634147615
1694,172994.94920392305
1695,176694.61732520923
1696,300579.5240668717
1697,177490.70165616815
1698,352276.6747969587
1699,291781.24564684933
1700,238072.8352527538
1701,270830.026300736
1702,300735.2230037483
1703,315630.2049990019
1704,295648.0541493477
1705,228035.82551868056
1706,431838.68304218416
1707,228938.12030589534
1708,209402.02066039998
1709,301671.99231271865
1710,261877.6261160772
1711,234331.75818464116
1712,310009.16757377377
1713,244731.03008103828
1714,202048.8687954664
1715,198670.49411373108
1716,194269.88865115104
1717,162738.00465395223
1718,171486.3936339562
1719,209886.52608787944
1720,249930.90010628648
1721,173227.23307623668
1722,147388.33287095386
1723,142365.81262679773
1724,267699.5542087891
1725,258734.1731321671
1726,193130.98862540838
1727,176130.12728939333
1728,187276.47117765687
1729,168716.73186278823
1730,176802.32766163952
1731,121529.37293670792
1732,104623.86450426081
1733,112166.83213097147
1734,137041.76808958204
1735,124755.04281240207
1736,126653.558455342
1737,409167.89305087645
1738,195714.14665183783
1739,269171.2019859276
